,Date,snow_water_equiv_in,year,month
0,1989-09-01,0.0,1989,9
1,1989-10-01,0.0,1989,10
2,1989-11-01,1.9,1989,11
3,1989-12-01,9.4,1989,12
4,1990-01-01,11.0,1990,1
5,1990-02-01,19.2,1990,2
6,1990-03-01,25.4,1990,3
7,1990-04-01,32.7,1990,4
8,1990-05-01,34.0,1990,5
9,1990-06-01,11.1,1990,6
10,1990-07-01,0.0,1990,7
11,1990-08-01,0.0,1990,8
12,1990-09-01,0.0,1990,9
13,1990-10-01,0.0,1990,10
14,1990-11-01,0.0,1990,11
15,1990-12-01,5.5,1990,12
16,1991-01-01,9.8,1991,1
17,1991-02-01,16.0,1991,2
18,1991-03-01,21.5,1991,3
19,1991-04-01,30.9,1991,4
20,1991-05-01,38.9,1991,5
21,1991-06-01,29.7,1991,6
22,1991-07-01,0.0,1991,7
23,1991-08-01,0.0,1991,8
24,1991-09-01,0.0,1991,9
25,1991-10-01,0.0,1991,10
26,1991-11-01,2.9,1991,11
27,1991-12-01,9.3,1991,12
28,1992-01-01,10.8,1992,1
29,1992-02-01,12.4,1992,2
30,1992-03-01,18.7,1992,3
31,1992-04-01,23.0,1992,4
32,1992-05-01,13.4,1992,5
33,1992-06-01,0.0,1992,6
34,1992-07-01,0.0,1992,7
35,1992-08-01,0.0,1992,8
36,1992-09-01,0.0,1992,9
37,1992-10-01,0.0,1992,10
38,1992-11-01,3.7,1992,11
39,1992-12-01,10.9,1992,12
40,1993-01-01,17.5,1993,1
41,1993-02-01,30.2,1993,2
42,1993-03-01,41.1,1993,3
43,1993-04-01,48.5,1993,4
44,1993-05-01,57.0,1993,5
45,1993-06-01,37.8,1993,6
46,1993-07-01,0.0,1993,7
47,1993-08-01,0.0,1993,8
48,1993-09-01,0.0,1993,9
49,1993-10-01,0.0,1993,10
50,1993-11-01,0.7,1993,11
51,1993-12-01,4.0,1993,12
52,1994-01-01,6.3,1994,1
53,1994-02-01,12.0,1994,2
54,1994-03-01,23.7,1994,3
55,1994-04-01,28.7,1994,4
56,1994-05-01,29.0,1994,5
57,1994-06-01,0.5,1994,6
58,1994-07-01,0.0,1994,7
59,1994-08-01,0.0,1994,8
60,1994-09-01,0.0,1994,9
61,1994-10-01,0.0,1994,10
62,1994-11-01,1.9,1994,11
63,1994-12-01,11.7,1994,12
64,1995-01-01,15.9,1995,1
65,1995-02-01,28.0,1995,2
66,1995-03-01,34.6,1995,3
67,1995-04-01,50.1,1995,4
68,1995-05-01,54.9,1995,5
69,1995-06-01,51.9,1995,6
70,1995-07-01,17.4,1995,7
71,1995-08-01,0.0,1995,8
72,1995-09-01,0.0,1995,9
73,1995-10-01,0.0,1995,10
74,1995-11-01,0.4,1995,11
75,1995-12-01,5.2,1995,12
76,1996-01-01,11.4,1996,1
77,1996-02-01,26.4,1996,2
78,1996-03-01,35.7,1996,3
79,1996-04-01,44.5,1996,4
80,1996-05-01,50.2,1996,5
81,1996-06-01,31.8,1996,6
82,1996-07-01,0.0,1996,7
83,1996-08-01,0.0,1996,8
84,1996-09-01,0.0,1996,9
85,1996-10-01,0.0,1996,10
86,1996-11-01,3.5,1996,11
87,1996-12-01,8.0,1996,12
88,1997-01-01,21.3,1997,1
89,1997-02-01,38.0,1997,2
90,1997-03-01,46.0,1997,3
91,1997-04-01,52.6,1997,4
92,1997-05-01,57.2,1997,5
93,1997-06-01,27.3,1997,6
94,1997-07-01,0.0,1997,7
95,1997-08-01,0.0,1997,8
96,1997-09-01,0.0,1997,9
97,1997-10-01,0.0,1997,10
98,1997-11-01,3.1,1997,11
99,1997-12-01,5.4,1997,12
100,1998-01-01,8.2,1998,1
101,1998-02-01,17.8,1998,2
102,1998-03-01,27.7,1998,3
103,1998-04-01,36.8,1998,4
104,1998-05-01,43.2,1998,5
105,1998-06-01,26.1,1998,6
106,1998-07-01,0.0,1998,7
107,1998-08-01,0.0,1998,8
108,1998-09-01,0.0,1998,9
109,1998-10-01,0.0,1998,10
110,1998-11-01,0.7,1998,11
111,1998-12-01,4.6,1998,12
112,1999-01-01,7.5,1999,1
113,1999-02-01,15.0,1999,2
114,1999-03-01,22.8,1999,3
115,1999-04-01,31.3,1999,4
116,1999-05-01,43.1,1999,5
117,1999-06-01,33.5,1999,6
118,1999-07-01,0.0,1999,7
119,1999-08-01,0.0,1999,8
120,1999-09-01,0.0,1999,9
121,1999-10-01,0.0,1999,10
122,1999-11-01,0.1,1999,11
123,1999-12-01,1.6,1999,12
124,2000-01-01,7.8,2000,1
125,2000-02-01,16.5,2000,2
126,2000-03-01,27.2,2000,3
127,2000-04-01,35.8,2000,4
128,2000-05-01,34.2,2000,5
129,2000-06-01,0.5,2000,6
130,2000-07-01,0.0,2000,7
131,2000-08-01,0.0,2000,8
132,2000-09-01,0.0,2000,9
133,2000-10-01,0.0,2000,10
134,2000-11-01,2.6,2000,11
135,2000-12-01,5.6,2000,12
136,2001-01-01,10.5,2001,1
137,2001-02-01,13.9,2001,2
138,2001-03-01,19.2,2001,3
139,2001-04-01,24.5,2001,4
140,2001-05-01,32.6,2001,5
141,2001-06-01,0.0,2001,6
142,2001-07-01,0.0,2001,7
143,2001-08-01,0.0,2001,8
144,2001-09-01,0.0,2001,9
145,2001-10-01,0.0,2001,10
146,2001-11-01,0.9,2001,11
147,2001-12-01,9.3,2001,12
148,2002-01-01,15.0,2002,1
149,2002-02-01,24.4,2002,2
150,2002-03-01,31.1,2002,3
151,2002-04-01,42.3,2002,4
152,2002-05-01,50.2,2002,5
153,2002-06-01,18.9,2002,6
154,2002-07-01,0.0,2002,7
155,2002-08-01,0.0,2002,8
156,2002-09-01,0.0,2002,9
157,2002-10-01,0.4,2002,10
158,2002-11-01,0.9,2002,11
159,2002-12-01,4.2,2002,12
160,2003-01-01,7.8,2003,1
161,2003-02-01,10.9,2003,2
162,2003-03-01,16.5,2003,3
163,2003-04-01,25.9,2003,4
164,2003-05-01,30.8,2003,5
165,2003-06-01,0.5,2003,6
166,2003-07-01,0.0,2003,7
167,2003-08-01,0.0,2003,8
168,2003-09-01,0.0,2003,9
169,2003-10-01,0.0,2003,10
170,2003-11-01,1.0,2003,11
171,2003-12-01,8.2,2003,12
172,2004-01-01,18.3,2004,1
173,2004-02-01,26.3,2004,2
174,2004-03-01,35.2,2004,3
175,2004-04-01,42.5,2004,4
176,2004-05-01,42.4,2004,5
177,2004-06-01,14.7,2004,6
178,2004-07-01,0.0,2004,7
179,2004-08-01,0.0,2004,8
180,2004-09-01,0.0,2004,9
181,2004-10-01,0.0,2004,10
182,2004-11-01,12.1,2004,11
183,2004-12-01,15.9,2004,12
184,2005-01-01,25.1,2005,1
185,2005-02-01,41.2,2005,2
186,2005-03-01,48.7,2005,3
187,2005-04-01,60.3,2005,4
188,2005-05-01,67.3,2005,5
189,2005-06-01,57.1,2005,6
190,2005-07-01,5.6,2005,7
191,2005-08-01,0.0,2005,8
192,2005-09-01,0.0,2005,9
193,2005-10-01,0.0,2005,10
194,2005-11-01,1.0,2005,11
195,2005-12-01,6.1,2005,12
196,2006-01-01,20.3,2006,1
197,2006-02-01,33.9,2006,2
198,2006-03-01,43.1,2006,3
199,2006-04-01,58.5,2006,4
200,2006-05-01,68.9,2006,5
201,2006-06-01,34.5,2006,6
202,2006-07-01,0.0,2006,7
203,2006-08-01,0.0,2006,8
204,2006-09-01,0.0,2006,9
205,2006-10-01,0.0,2006,10
206,2006-11-01,1.5,2006,11
207,2006-12-01,5.6,2006,12
208,2007-01-01,9.1,2007,1
209,2007-02-01,10.9,2007,2
210,2007-03-01,19.7,2007,3
211,2007-04-01,25.8,2007,4
212,2007-05-01,24.5,2007,5
213,2007-06-01,0.0,2007,6
214,2007-07-01,0.0,2007,7
215,2007-08-01,0.0,2007,8
216,2007-09-01,0.0,2007,9
217,2007-10-01,0.0,2007,10
218,2007-11-01,2.8,2007,11
219,2007-12-01,4.6,2007,12
220,2008-01-01,15.4,2008,1
221,2008-02-01,31.8,2008,2
222,2008-03-01,43.8,2008,3
223,2008-04-01,49.9,2008,4
224,2008-05-01,56.6,2008,5
225,2008-06-01,38.3,2008,6
226,2008-07-01,0.0,2008,7
227,2008-08-01,0.0,2008,8
228,2008-09-01,0.0,2008,9
229,2008-10-01,0.0,2008,10
230,2008-11-01,0.0,2008,11
231,2008-12-01,6.0,2008,12
232,2009-01-01,17.3,2009,1
233,2009-02-01,26.0,2009,2
234,2009-03-01,32.9,2009,3
235,2009-04-01,43.5,2009,4
236,2009-05-01,51.8,2009,5
237,2009-06-01,12.7,2009,6
238,2009-07-01,0.0,2009,7
239,2009-08-01,0.0,2009,8
240,2009-09-01,0.0,2009,9
241,2009-10-01,1.2,2009,10
242,2009-11-01,1.3,2009,11
243,2009-12-01,2.6,2009,12
244,2010-01-01,8.6,2010,1
245,2010-02-01,17.4,2010,2
246,2010-03-01,21.4,2010,3
247,2010-04-01,29.3,2010,4
248,2010-05-01,38.0,2010,5
249,2010-06-01,36.4,2010,6
250,2010-07-01,0.0,2010,7
251,2010-08-01,0.0,2010,8
252,2010-09-01,0.0,2010,9
253,2010-10-01,0.0,2010,10
254,2010-11-01,3.1,2010,11
255,2010-12-01,13.1,2010,12
256,2011-01-01,30.6,2011,1
257,2011-02-01,36.5,2011,2
258,2011-03-01,46.8,2011,3
259,2011-04-01,58.6,2011,4
260,2011-05-01,73.2,2011,5
261,2011-06-01,75.1,2011,6
262,2011-07-01,20.3,2011,7
263,2011-08-01,0.0,2011,8
264,2011-09-01,0.0,2011,9
265,2011-10-01,0.0,2011,10
266,2011-11-01,0.0,2011,11
267,2011-12-01,5.5,2011,12
268,2012-01-01,7.9,2012,1
269,2012-02-01,15.4,2012,2
270,2012-03-01,23.3,2012,3
271,2012-04-01,28.4,2012,4
272,2012-05-01,27.5,2012,5
273,2012-06-01,0.0,2012,6
274,2012-07-01,0.0,2012,7
275,2012-08-01,0.0,2012,8
276,2012-09-01,0.0,2012,9
277,2012-10-01,0.0,2012,10
278,2012-11-01,0.9,2012,11
279,2012-12-01,7.6,2012,12
280,2013-01-01,15.8,2013,1
281,2013-02-01,20.0,2013,2
282,2013-03-01,23.8,2013,3
283,2013-04-01,28.2,2013,4
284,2013-05-01,32.5,2013,5
285,2013-06-01,7.7,2013,6
286,2013-07-01,0.0,2013,7
287,2013-08-01,0.0,2013,8
288,2013-09-01,0.0,2013,9
289,2013-10-01,0.0,2013,10
290,2013-11-01,2.8,2013,11
291,2013-12-01,4.4,2013,12
292,2014-01-01,9.4,2014,1
293,2014-02-01,13.1,2014,2
294,2014-03-01,21.9,2014,3
295,2014-04-01,30.4,2014,4
296,2014-05-01,30.9,2014,5
297,2014-06-01,3.2,2014,6
298,2014-07-01,0.0,2014,7
299,2014-08-01,0.0,2014,8
300,2014-09-01,0.0,2014,9
301,2014-10-01,0.0,2014,10
302,2014-11-01,0.0,2014,11
303,2014-12-01,5.7,2014,12
304,2015-01-01,15.2,2015,1
305,2015-02-01,17.6,2015,2
306,2015-03-01,19.6,2015,3
307,2015-04-01,19.4,2015,4
308,2015-05-01,16.9,2015,5
309,2015-06-01,1.6,2015,6
310,2015-07-01,0.0,2015,7
311,2015-08-01,0.0,2015,8
312,2015-09-01,0.0,2015,9
313,2015-10-01,0.0,2015,10
314,2015-11-01,0.0,2015,11
315,2015-12-01,3.9,2015,12
316,2016-01-01,11.2,2016,1
317,2016-02-01,20.2,2016,2
318,2016-03-01,25.4,2016,3
319,2016-04-01,33.7,2016,4
320,2016-05-01,35.1,2016,5
321,2016-06-01,12.9,2016,6
322,2016-07-01,0.0,2016,7
323,2016-08-01,0.0,2016,8
324,2016-09-01,0.0,2016,9
325,2016-10-01,0.0,2016,10
326,2016-11-01,0.4,2016,11
327,2016-12-01,6.0,2016,12
328,2017-01-01,16.0,2017,1
329,2017-02-01,33.3,2017,2
330,2017-03-01,48.4,2017,3
331,2017-04-01,53.1,2017,4
332,2017-05-01,58.8,2017,5
333,2017-06-01,29.9,2017,6
334,2017-07-01,0.0,2017,7
335,2017-08-01,0.0,2017,8
336,2017-09-01,0.0,2017,9
337,2017-10-01,0.0,2017,10
338,2017-11-01,0.0,2017,11
339,2017-12-01,3.1,2017,12
340,2018-01-01,6.8,2018,1
341,2018-02-01,11.5,2018,2
342,2018-03-01,16.9,2018,3
343,2018-04-01,26.3,2018,4
344,2018-05-01,23.4,2018,5
345,2018-06-01,0.0,2018,6
346,2018-07-01,0.0,2018,7
347,2018-08-01,0.0,2018,8
348,2018-09-01,0.0,2018,9
349,2018-10-01,0.0,2018,10
350,2018-11-01,0.6,2018,11
351,2018-12-01,6.2,2018,12
352,2019-01-01,10.4,2019,1
353,2019-02-01,22.7,2019,2
354,2019-03-01,37.2,2019,3
355,2019-04-01,49.0,2019,4
356,2019-05-01,52.3,2019,5
357,2019-06-01,46.4,2019,6
358,2019-07-01,0.0,2019,7
359,2019-08-01,0.0,2019,8
360,2019-09-01,0.0,2019,9
361,2019-10-01,0.0,2019,10
362,2019-11-01,3.4,2019,11
363,2019-12-01,8.6,2019,12
364,2020-01-01,14.8,2020,1
365,2020-02-01,27.2,2020,2
366,2020-03-01,36.5,2020,3
367,2020-04-01,43.5,2020,4
368,2020-05-01,40.3,2020,5
369,2020-06-01,4.2,2020,6
370,2020-07-01,0.0,2020,7
371,2020-08-01,0.0,2020,8
372,2020-09-01,0.0,2020,9
373,2020-10-01,0.0,2020,10
374,2020-11-01,0.0,2020,11
375,2020-12-01,5.5,2020,12
376,2021-01-01,8.9,2021,1
377,2021-02-01,14.3,2021,2
378,2021-03-01,23.8,2021,3
379,2021-04-01,29.7,2021,4
380,2021-05-01,31.6,2021,5
381,2021-06-01,0.6,2021,6
382,2021-07-01,0.0,2021,7
383,2021-08-01,0.0,2021,8
384,2021-09-01,0.0,2021,9
385,2021-10-01,0.0,2021,10
386,2021-11-01,4.5,2021,11
387,2021-12-01,6.0,2021,12
388,2022-01-01,18.3,2022,1
389,2022-02-01,22.2,2022,2
390,2022-03-01,23.7,2022,3
391,2022-04-01,29.6,2022,4
392,2022-05-01,33.3,2022,5
393,2022-06-01,11.2,2022,6
394,2022-07-01,0.0,2022,7
395,2022-08-01,0.0,2022,8
396,2022-09-01,0.0,2022,9
397,2022-10-01,0.0,2022,10
398,2022-11-01,3.8,2022,11
399,2022-12-01,11.7,2022,12
400,2023-01-01,21.3,2023,1
401,2023-02-01,35.8,2023,2
402,2023-03-01,46.8,2023,3
403,2023-04-01,66.8,2023,4
404,2023-05-01,71.0,2023,5
405,2023-06-01,33.5,2023,6
406,2023-07-01,0.0,2023,7
407,2023-08-01,0.0,2023,8
408,2023-09-01,0.0,2023,9
409,2023-10-01,0.0,2023,10
410,2023-11-01,0.6,2023,11
411,2023-12-01,4.5,2023,12
412,2024-01-01,11.5,2024,1
413,2024-02-01,20.5,2024,2
414,2024-03-01,35.8,2024,3
415,2024-04-01,46.9,2024,4
416,2024-05-01,46.1,2024,5
417,2024-06-01,20.4,2024,6
418,2024-07-01,0.0,2024,7
419,2024-08-01,0.0,2024,8
420,2024-09-01,0.0,2024,9
421,2024-10-01,0.0,2024,10
422,2024-11-01,1.0,2024,11
423,2024-12-01,3.6,2024,12
424,2025-01-01,9.3,2025,1
425,2025-02-01,15.9,2025,2
426,2025-03-01,27.2,2025,3
427,2025-04-01,37.7,2025,4
428,2025-05-01,34.0,2025,5
429,2025-06-01,0.0,2025,6
430,2025-07-01,0.0,2025,7
431,2025-08-01,0.0,2025,8
432,2025-09-01,0.0,2025,9
433,2025-10-01,0.0,2025,10
434,2025-11-01,0.0,2025,11
435,2025-12-01,1.0,2025,12
436,2026-01-01,6.6,2026,1
437,2026-02-01,14.5,2026,2
438,2026-03-01,22.4,2026,3
